,0,1,2
780,1.0,3.5881,8.4568
781,1.0,3.5998,8.5683
782,1.0,3.6116,8.6797
783,1.0,3.6233,8.7912
784,1.0,3.6351,8.9026
785,1.0,3.6468,9.0141
786,1.0,3.6586,9.1255
787,1.0,3.6904,9.2358
788,1.0,3.7222,9.3461
789,1.0,3.754,9.4563
790,1.0,3.7858,9.5666
791,1.0,3.8176,9.6769
792,1.0,3.8494,9.7871
793,1.0,3.8671,9.9013
794,1.0,3.8848,10.015
795,1.0,3.9024,10.13
796,1.0,3.9201,10.244
797,1.0,3.9378,10.358
798,1.0,3.9555,10.472
799,1.0,3.9731,10.571
800,1.0,3.9907,10.67
801,1.0,4.0084,10.769
802,1.0,4.026,10.868
803,1.0,4.0436,10.967
804,1.0,4.0613,11.066
804.1,2.0,5.7826,13.018
805,1.0,4.1045,11.177
805.1,2.0,5.7775,12.863
806,1.0,4.1477,11.288
806.1,2.0,5.7724,12.708
807,1.0,4.1909,11.399
807.1,2.0,5.7673,12.553
808,1.0,4.2341,11.51
808.1,2.0,5.7622,12.398
809,1.0,4.2773,11.621
809.1,2.0,5.7571,12.243
810,1.0,4.3206,11.732
810.1,2.0,5.7519,12.088
811,1.0,4.3499,11.84
811.1,2.0,5.7483,12.031
812,1.0,4.3793,11.948
812.1,2.0,5.7446,11.974
813,1.0,4.4087,12.057
813.1,2.0,5.7409,11.917
814,1.0,4.438,12.165
814.1,2.0,5.7372,11.86
815,1.0,4.4674,12.273
815.1,2.0,5.7335,11.803
816,1.0,4.4968,12.381
816.1,2.0,5.7298,11.746
817,2.0,5.7476,11.651
818,2.0,5.7653,11.556
819,2.0,5.783,11.461
820,2.0,5.8008,11.366
821,2.0,5.8185,11.27
822,2.0,5.8362,11.175
823,2.0,5.8424,11.052
824,2.0,5.8486,10.928
825,2.0,5.8547,10.805
826,2.0,5.8609,10.681
827,2.0,5.867,10.558
828,2.0,5.8732,10.434
829,2.0,5.9229,10.37
830,2.0,5.9726,10.306
831,2.0,6.0223,10.242
832,2.0,6.0721,10.178
833,2.0,6.1218,10.114
834,2.0,6.1715,10.05
834.1,3.0,6.6684,12.271
835,2.0,6.1825,9.9704
835.1,3.0,6.6848,12.215
836,2.0,6.1934,9.8906
836.1,3.0,6.7012,12.159
837,2.0,6.2044,9.8108
837.1,3.0,6.7175,12.103
838,2.0,6.2154,9.7309
838.1,3.0,6.7339,12.048
839,2.0,6.2264,9.6511
839.1,3.0,6.7503,11.992
840,2.0,6.2374,9.5713
840.1,3.0,6.7666,11.936
841,2.0,6.2418,9.4901
841.1,3.0,6.7913,11.855
842,2.0,6.2462,9.4089
842.1,3.0,6.8159,11.774
843,2.0,6.2506,9.3277
843.1,3.0,6.8405,11.692
844,2.0,6.255,9.2465
844.1,3.0,6.8652,11.611
845,2.0,6.2594,9.1653
845.1,3.0,6.8898,11.529
846,2.0,6.2638,9.0841
846.1,3.0,6.9144,11.448
846.2,4.0,5.126,-1.7114
846.3,5.0,4.3795,-1.8861
846.4,6.0,5.7482,12.163
847,2.0,6.2822,8.9955
847.1,3.0,6.8951,11.344
847.2,4.0,5.1226,-1.6127
847.3,5.0,4.3926,-1.7854
847.4,6.0,5.7653,12.082
848,2.0,6.3006,8.907
848.1,3.0,6.8757,11.241
