x, y, z, Activity
-5,0.2394177,-2,NONE
-4,0.2394177,-2,NONE
-3,0.2394177,-2,NONE
-2,0.2394177,-2,NONE
-1,0.2394177,-2,NONE
0,0.2394177,-2,NONE
1,0.2394178,-2,NONE
2,0.2394178,-2,NONE
3,0.2394178,-2,NONE
-5,0.2394177,-1,NONE
-4,0.2394177,-1,NAV_NODE
-3,0.2394177,-1,NAV_NODE
-2,0.2394177,-1,BI_EDGE
-1,0.2394177,-1,BI_EDGE
0,0.2394177,-1,BI_EDGE
1,0.2394179,-1,NONE
2,0.2394178,-1,NONE
3,0.2394178,-1,NONE
-5,0.2394177,0,NONE
-4,0.2394177,0,NONE
-3,0.2394177,0,NAV_NODE
-2,0.2394177,0,BI_EDGE
-1,0.2394177,0,BI_EDGE
0,0.2394177,0,BI_EDGE
1,0.2394177,0,BI_EDGE
2,0.2394178,0,GROUP_NAV_NODE
3,0.2394178,0,GROUP_NAV_NODE
-5,0.2394177,1,NONE
-4,0.2394177,1,NONE
-3,0.2394177,1,NAV_NODE
-2,0.2394177,1,BI_EDGE
-1,0.2394177,1,BI_EDGE
0,0.2394177,1,BI_EDGE
1,0.2394178,1,BI_EDGE
2,0.2394178,1,BI_EDGE
3,0.2394178,1,NONE
-5,0.2394177,2,NONE
-4,0.2394177,2,NONE
-3,0.2394177,2,NAV_NODE
-2,0.2394177,2,NAV_NODE
-1,0.2394177,2,BI_EDGE
0,0.2394177,2,BI_EDGE
1,0.2394178,2,NONE
2,0.2394178,2,NONE
3,0.2394178,2,NONE
