x, y, z, Activity
-3,-2.240913,-80,NONE
-2,-2.240913,-80,NONE
-1,-2.240913,-80,NONE
0,-2.240913,-80,NONE
1,-2.224788,-80,NONE
2,-2.209553,-80,NONE
3,-2.193876,-80,NONE
4,-2.178199,-80,NONE
5,-2.162516,-80,NONE
6,-2.202133,-80,NONE
-3,-2.240913,-79,NONE
-2,-2.240913,-79,NONE
-1,-2.240913,-79,NONE
0,-2.240913,-79,GROUP_NAV_NODE
1,-2.211789,-79,GROUP_NAV_NODE
2,-2.209493,-79,NONE
3,-2.193875,-79,NONE
4,-2.178197,-79,NONE
5,-2.16252,-79,NONE
6,-2.20204,-79,NONE
-3,-2.240913,-78,NONE
-2,-2.240913,-78,NONE
-1,-2.240913,-78,NONE
0,-2.240913,-78,GROUP_NAV_NODE
1,-2.22146,-78,GROUP_NAV_NODE
2,-2.209551,-78,BI_EDGE
3,-2.193872,-78,NONE
4,-2.178193,-78,NONE
5,-2.16265,-78,NONE
6,-2.211113,-78,NONE
-3,-2.240913,-77,NONE
-2,-2.240913,-77,NONE
-1,-2.240913,-77,NONE
0,-2.240913,-77,BI_EDGE
1,-2.225237,-77,BI_EDGE
2,-2.209551,-77,BI_EDGE
3,-2.193872,-77,NONE
4,-2.178193,-77,NONE
5,-2.171723,-77,NONE
6,-2.220186,-77,NONE
-3,-2.240913,-76,NONE
-2,-2.240913,-76,NONE
-1,-2.240913,-76,NONE
0,-2.240913,-76,BI_EDGE
1,-2.225237,-76,NAV_NODE
2,-2.209551,-76,NAV_NODE
3,-2.193872,-76,NAV_NODE
4,-2.178193,-76,NONE
5,-2.180796,-76,NONE
6,-2.229259,-76,NONE
-3,-2.240913,-75,NONE
-2,-2.240913,-75,NONE
-1,-2.240913,-75,NAV_NODE
0,-2.240913,-75,NAV_NODE
1,-2.225237,-75,NAV_NODE
2,-2.209558,-75,NAV_NODE
3,-2.193872,-75,NAV_NODE
4,-2.178193,-75,NAV_NODE
5,-2.189869,-75,NONE
6,-2.238332,-75,NONE
-3,-2.240913,-74,NONE
-2,-2.240913,-74,NONE
-1,-2.240913,-74,NAV_NODE
0,-2.240913,-74,NAV_NODE
1,-2.225237,-74,NAV_NODE
2,-2.209558,-74,NAV_NODE
3,-2.193872,-74,NAV_NODE
4,-2.178193,-74,NAV_NODE
5,-2.198942,-74,NAV_NODE
6,-2.239008,-74,NONE
-3,-2.240913,-73,NONE
-2,-2.240913,-73,NONE
-1,-2.240913,-73,NAV_NODE
0,-2.240913,-73,NAV_NODE
1,-2.225237,-73,NAV_NODE
2,-2.209558,-73,NAV_NODE
3,-2.193872,-73,NAV_NODE
4,-2.178193,-73,NAV_NODE
5,-2.208015,-73,NAV_NODE
6,-2.236344,-73,NONE
-3,-2.240913,-72,NONE
-2,-2.240913,-72,NAV_NODE
-1,-2.240913,-72,NAV_NODE
0,-2.240913,-72,NAV_NODE
1,-2.225237,-72,NAV_NODE
2,-2.209558,-72,NAV_NODE
3,-2.193872,-72,NAV_NODE
4,-2.178193,-72,NAV_NODE
5,-2.217088,-72,NAV_NODE
6,-2.23368,-72,NONE
-3,-2.240913,-71,NONE
-2,-2.240913,-71,BI_EDGE
-1,-2.240913,-71,NAV_NODE
0,-2.240913,-71,NAV_NODE
1,-2.225237,-71,NAV_NODE
2,-2.209558,-71,NAV_NODE
3,-2.193872,-71,NAV_NODE
4,-2.178193,-71,NAV_NODE
5,-2.226161,-71,NAV_NODE
6,-2.231016,-71,NONE
-3,-2.240913,-70,NONE
-2,-2.240913,-70,NONE
-1,-2.240913,-70,NAV_NODE
0,-2.240913,-70,NAV_NODE
1,-2.225237,-70,NAV_NODE
2,-2.209558,-70,NAV_NODE
3,-2.193872,-70,NAV_NODE
4,-2.186771,-70,NAV_NODE
5,-2.235234,-70,NAV_NODE
6,-2.228353,-70,NONE
-3,-2.240913,-69,NONE
-2,-2.240913,-69,NONE
-1,-2.240913,-69,BI_EDGE
0,-2.240913,-69,NAV_NODE
1,-2.225237,-69,NAV_NODE
2,-2.209558,-69,NAV_NODE
3,-2.193872,-69,NAV_NODE
4,-2.195844,-69,BI_EDGE
5,-2.239917,-69,BI_EDGE
6,-2.225689,-69,NONE
-3,-2.240913,-68,NONE
-2,-2.240913,-68,NONE
-1,-2.240913,-68,BI_EDGE
0,-2.240913,-68,BI_EDGE
1,-2.225237,-68,BI_EDGE
2,-2.209558,-68,BI_EDGE
3,-2.19388,-68,BI_EDGE
4,-2.204916,-68,BI_EDGE
5,-2.237253,-68,BI_EDGE
6,-2.223025,-68,NONE
-3,-2.240913,-67,NONE
-2,-2.240913,-67,NONE
-1,-2.240913,-67,BI_EDGE
0,-2.240913,-67,BI_EDGE
1,-2.225237,-67,BI_EDGE
2,-2.209558,-67,BI_EDGE
3,-2.19388,-67,BI_EDGE
4,-2.213989,-67,BI_EDGE
5,-2.23459,-67,BI_EDGE
6,-2.220361,-67,NONE
-3,-2.240913,-66,NONE
-2,-2.240913,-66,NONE
-1,-2.240913,-66,BI_EDGE
