x, y, z, Activity
-18,0.05144882,-16,NONE
-17,0.05144882,-16,NONE
-16,0.05144882,-16,NONE
-14,0.05144882,-16,NONE
-13,0.05144882,-16,NONE
-12,0.05144882,-16,NONE
-11,0.05144882,-16,NONE
-10,0.05144882,-16,NONE
-9,0.05144882,-16,NONE
-8,0.05144882,-16,NONE
-7,0.05144882,-16,NONE
-6,0.05144882,-16,NONE
-4,0.05144882,-16,NONE
-3,0.05144882,-16,NONE
-2,0.05144882,-16,NONE
-1,0.05144882,-16,NONE
0,0.05144882,-16,NONE
1,0.05144882,-16,NONE
2,0.05144854,-16,NONE
3,0.05144904,-16,NONE
4,0.05144882,-16,NONE
5,0.05144882,-16,NONE
6,0.05144882,-16,NONE
7,0.05144882,-16,NONE
8,0.05144882,-16,NONE
9,0.05144882,-16,NONE
11,0.05144882,-16,NONE
12,0.05144918,-16,NONE
13,0.05144882,-16,NONE
14,0.05144882,-16,NONE
15,0.05144882,-16,NONE
-18,0.05144882,-15,NONE
-17,0.05144882,-15,NONE
-16,0.05144882,-15,NONE
-14,0.05144882,-15,NONE
-13,0.05144882,-15,NONE
-12,0.05144882,-15,NONE
-11,0.05144882,-15,NONE
-10,0.05144882,-15,NONE
-9,0.05144882,-15,NONE
-8,0.05144882,-15,NONE
-7,0.05144882,-15,NONE
-6,0.05144882,-15,NONE
-4,0.05144882,-15,NONE
-3,0.05144882,-15,NONE
-2,0.05144882,-15,NONE
-1,0.05144882,-15,NONE
0,0.05144882,-15,NONE
1,0.05144882,-15,NONE
2,0.05144886,-15,NONE
3,0.05144899,-15,NONE
4,0.05144882,-15,NONE
5,0.05144882,-15,NONE
6,0.05144882,-15,NONE
7,0.05144882,-15,NONE
8,0.05144882,-15,NONE
9,0.05144882,-15,NONE
11,0.05144882,-15,NONE
12,0.05144882,-15,GROUP_NAV_NODE
13,0.05144882,-15,GROUP_NAV_NODE
14,0.05144882,-15,NONE
15,0.05144882,-15,NONE
-18,0.05144882,-14,NONE
-17,0.05144882,-14,NONE
-16,0.05144882,-14,NONE
-14,0.05144882,-14,NONE
-13,0.05144882,-14,NONE
-12,0.05144882,-14,NONE
-11,0.0514488,-14,GROUP_NAV_NODE
-10,0.05144882,-14,GROUP_NAV_NODE
-9,0.05144916,-14,NONE
-8,0.05144883,-14,NONE
-7,0.05144882,-14,NONE
-6,0.05144882,-14,NONE
-4,0.05144882,-14,NONE
-3,0.05144882,-14,NONE
-2,0.05144882,-14,NONE
-1,0.05144882,-14,BI_EDGE
0,0.05144882,-14,GROUP_NAV_NODE
1,0.0514486,-14,NONE
2,0.05144918,-14,NONE
3,0.05144894,-14,NONE
4,0.05144882,-14,NONE
5,0.05144882,-14,NONE
6,0.05144882,-14,NONE
7,0.05144882,-14,NONE
8,0.05144882,-14,NONE
9,0.05144882,-14,NONE
13,0.05144882,-14,GROUP_NAV_NODE
14,0.05144882,-14,GROUP_NAV_NODE
15,0.05144882,-14,NONE
-18,0.05144882,-13,NONE
-17,0.05144882,-13,NONE
-16,0.05144882,-13,NONE
-14,0.05144882,-13,NONE
-13,0.05144882,-13,NONE
-12,0.05144882,-13,BI_EDGE
-11,0.05144882,-13,GROUP_NAV_NODE
-10,0.05144882,-13,GROUP_NAV_NODE
-9,0.05144882,-13,BI_EDGE
-8,0.05144882,-13,NONE
-7,0.05144882,-13,NONE
-6,0.05144882,-13,NONE
-4,0.05144882,-13,NONE
-3,0.05144882,-13,NONE
-2,0.05144882,-13,BI_EDGE
-1,0.05144878,-13,GROUP_NAV_NODE
0,0.05144882,-13,GROUP_NAV_NODE
1,0.05144866,-13,BI_EDGE
2,0.05144918,-13,NONE
3,0.0514489,-13,NONE
4,0.05144882,-13,NONE
5,0.05144882,-13,NONE
6,0.05144882,-13,NONE
7,0.05144882,-13,NONE
8,0.05144882,-13,NONE
9,0.05144882,-13,NONE
11,0.05144882,-13,BI_EDGE
12,0.05144882,-13,GROUP_NAV_NODE
13,0.05144883,-13,GROUP_NAV_NODE
14,0.05144882,-13,NONE
15,0.05144882,-13,NONE
-18,0.05144882,-12,NONE
-17,0.05144882,-12,NONE
-16,0.05144882,-12,NONE
-14,0.05144882,-12,NONE
-13,0.05144892,-12,BI_EDGE
-12,0.05144862,-12,BI_EDGE
-11,0.05144862,-12,BI_EDGE
-10,0.05144862,-12,BI_EDGE
-9,0.05144862,-12,BI_EDGE
-8,0.05144891,-12,BI_EDGE
-7,0.05144882,-12,NONE
-6,0.05144882,-12,NONE
-4,0.05144882,-12,BI_EDGE
-3,0.05144882,-12,BI_EDGE
-2,0.05144845,-12,BI_EDGE
-1,0.05144882,-12,BI_EDGE
0,0.05144924,-12,BI_EDGE
1,0.05144893,-12,BI_EDGE
2,0.05144854,-12,BI_EDGE
3,0.0514488,-12,NONE
4,0.05144882,-12,NONE
5,0.05144882,-12,NONE
6,0.05144882,-12,NONE
7,0.05144882,-12,NONE
8,0.05144882,-12,NONE
9,0.05144882,-12,NONE
11,0.05144882,-12,BI_EDGE
12,0.0514485,-12,BI_EDGE
13,0.05144874,-12,BI_EDGE
14,0.05144882,-12,NONE
15,0.05144882,-12,NONE
-18,0.05144882,-11,NONE
-17,0.05144882,-11,NONE
-16,0.05144882,-11,NONE
-14,0.05144882,-11,BI_EDGE
-13,0.05144882,-11,BI_EDGE
-12,0.05144882,-11,BI_EDGE
-11,0.05144882,-11,BI_EDGE
-10,0.05144882,-11,BI_EDGE
-9,0.05144882,-11,BI_EDGE
-8,0.05144882,-11,BI_EDGE
-7,0.05144882,-11,BI_EDGE
-6,0.05144882,-11,NONE
-4,0.05144882,-11,BI_EDGE
-3,0.05144864,-11,BI_EDGE
-2,0.05144882,-11,BI_EDGE
-1,0.05144882,-11,BI_EDGE
0,0.05144909,-11,BI_EDGE
1,0.05144882,-11,BI_EDGE
2,0.05144882,-11,BI_EDGE
3,0.05144882,-11,BI_EDGE
4,0.05144882,-11,NONE
5,0.05144882,-11,NONE
6,0.05144882,-11,NONE
7,0.05144882,-11,NONE
8,0.05144882,-11,NONE
9,0.05144882,-11,NONE
11,0.05144882,-11,BI_EDGE
12,0.05144851,-11,BI_EDGE
13,0.05144882,-11,BI_EDGE
14,0.05144882,-11,NONE
15,0.05144882,-11,NONE
-18,0.05144882,-10,NONE
-17,0.05144882,-10,NONE
-16,0.05144882,-10,NAV_NODE
-15,0.05144882,-10,NAV_NODE
-14,0.05144882,-10,BI_EDGE
-13,0.05144882,-10,BI_EDGE
-12,0.05144882,-10,BI_EDGE
-11,0.05144882,-10,BI_EDGE
-10,0.05144882,-10,BI_EDGE
-9,0.05144882,-10,BI_EDGE
-8,0.05144882,-10,BI_EDGE
-7,0.05144882,-10,NAV_NODE
-6,0.05144882,-10,NAV_NODE
-5,0.05144882,-10,BI_EDGE
-4,0.05144882,-10,BI_EDGE
-3,0.05144882,-10,BI_EDGE
-2,0.05144882,-10,BI_EDGE
-1,0.05144882,-10,BI_EDGE
0,0.05144894,-10,BI_EDGE
1,0.05144882,-10,BI_EDGE
2,0.05144882,-10,BI_EDGE
3,0.05144882,-10,NAV_NODE
4,0.05144882,-10,NAV_NODE
5,0.05144882,-10,NAV_NODE
6,0.05144882,-10,UNI_EDGE
7,0.05144882,-10,UNI_EDGE
8,0.05144882,-10,UNI_EDGE
9,0.05144882,-10,UNI_EDGE
11,0.05144882,-10,NAV_NODE
12,0.05144854,-10,NAV_NODE
13,0.05144882,-10,NAV_NODE
14,0.05144882,-10,NONE
15,0.05144882,-10,NONE
-18,0.05144882,-9,NONE
-17,0.05144882,-9,NAV_NODE
-16,0.05144882,-9,NAV_NODE
-15,0.05144882,-9,NAV_NODE
-14,0.05144882,-9,NAV_NODE
-13,0.05144882,-9,BI_EDGE
-12,0.05144882,-9,BI_EDGE
-11,0.05144882,-9,BI_EDGE
-10,0.05144882,-9,BI_EDGE
-9,0.05144882,-9,BI_EDGE
-8,0.05144882,-9,NAV_NODE
-7,0.05144882,-9,NAV_NODE
-6,0.05144882,-9,NAV_NODE
-5,0.05144882,-9,NAV_NODE
-4,0.05144882,-9,BI_EDGE
-3,0.05144882,-9,BI_EDGE
-2,0.05144882,-9,BI_EDGE
-1,0.05144882,-9,BI_EDGE
0,0.05144882,-9,BI_EDGE
1,0.05144882,-9,BI_EDGE
2,0.05144882,-9,NAV_NODE
3,0.05144882,-9,NAV_NODE
4,0.05144882,-9,NAV_NODE
5,0.05144882,-9,NAV_NODE
6,0.05144882,-9,UNI_EDGE
7,0.05144882,-9,UNI_EDGE
8,0.05144882,-9,UNI_EDGE
9,0.05144882,-9,NAV_NODE
11,0.05144882,-9,NAV_NODE
12,0.05144882,-9,NAV_NODE
13,0.05144882,-9,NAV_NODE
14,0.05144882,-9,NONE
15,0.05144882,-9,NONE
12,0.05144882,-8,NAV_NODE
13,0.05144882,-8,NAV_NODE
14,0.05144882,-8,NONE
15,0.05144882,-8,NONE
-18,0.05144882,-7,NONE
-17,0.05144882,-7,NAV_NODE
-16,0.05144882,-7,NAV_NODE
-15,0.05144882,-7,NAV_NODE
-14,0.05144882,-7,NAV_NODE
-13,0.05144882,-7,BI_EDGE
-8,0.05144882,-7,NAV_NODE
-7,0.05144882,-7,NAV_NODE
-6,0.05144882,-7,NAV_NODE
-5,0.05144882,-7,NAV_NODE
-4,0.05144883,-7,BI_EDGE
-3,0.05144882,-7,BI_EDGE
2,0.05144882,-7,NAV_NODE
3,0.05144882,-7,NAV_NODE
4,0.05144882,-7,NAV_NODE
5,0.05144882,-7,NAV_NODE
9,0.05144882,-7,UNI_EDGE
10,0.05144882,-7,NAV_NODE
11,0.05144882,-7,NAV_NODE
13,0.05144882,-7,NAV_NODE
14,0.05144882,-7,NONE
15,0.05144882,-7,NONE
-17,0.05144882,-6,EMPTY_EDGE
-16,0.05144882,-6,NAV_NODE
-15,0.05144882,-6,NAV_NODE
-14,0.05144882,-6,NAV_NODE
-13,0.05144882,-6,BI_EDGE
-7,0.05144882,-6,NAV_NODE
-6,0.05144882,-6,NAV_NODE
-5,0.05144882,-6,BI_EDGE
-4,0.05144882,-6,BI_EDGE
-3,0.05144882,-6,BI_EDGE
3,0.05144882,-6,UNI_EDGE
4,0.05144882,-6,UNI_EDGE
5,0.05144882,-6,UNI_EDGE
9,0.05144882,-6,UNI_EDGE
10,0.05144882,-6,UNI_EDGE
11,0.05144882,-6,NAV_NODE
13,0.05144882,-6,UNI_EDGE
14,0.05144882,-6,UNI_EDGE
15,0.05144882,-6,NONE
-17,0.05144882,-5,EMPTY_EDGE
-16,0.05144882,-5,EMPTY_EDGE
-15,0.05144882,-5,EMPTY_EDGE
-14,0.05144882,-5,EMPTY_EDGE
-13,0.05144882,-5,NONE
-7,0.05144882,-5,BI_EDGE
-6,0.05144882,-5,BI_EDGE
-5,0.05144882,-5,BI_EDGE
-4,0.05144882,-5,NONE
-3,0.05144882,-5,NONE
3,0.05144882,-5,UNI_EDGE
4,0.05144882,-5,UNI_EDGE
5,0.05144882,-5,UNI_EDGE
6,0.05144882,-5,NONE
7,0.05144882,-5,NONE
8,0.05144882,-5,NONE
9,0.05144882,-5,UNI_EDGE
10,0.05144882,-5,UNI_EDGE
11,0.05144882,-5,UNI_EDGE
13,0.05144882,-5,UNI_EDGE
14,0.05144882,-5,UNI_EDGE
15,0.05144882,-5,NONE
-17,0.05144882,-4,EMPTY_EDGE
-16,0.05144882,-4,EMPTY_EDGE
-15,0.05144882,-4,EMPTY_EDGE
-14,0.05144882,-4,EMPTY_EDGE
-13,0.05144882,-4,NONE
-7,0.05144882,-4,BI_EDGE
-6,0.05144882,-4,BI_EDGE
-5,0.05144882,-4,BI_EDGE
-4,0.05144882,-4,NONE
-3,0.05144882,-4,NONE
3,0.05144883,-4,UNI_EDGE
4,0.05144882,-4,UNI_EDGE
5,0.05144882,-4,UNI_EDGE
6,0.05144882,-4,NONE
7,0.05144882,-4,NONE
8,0.05144882,-4,NONE
9,0.05144882,-4,UNI_EDGE
10,0.05144882,-4,UNI_EDGE
11,0.05144882,-4,UNI_EDGE
13,0.05144882,-4,UNI_EDGE
14,0.05144882,-4,UNI_EDGE
15,0.05144882,-4,NONE
-17,0.05144882,-3,EMPTY_EDGE
-16,0.05144882,-3,EMPTY_EDGE
-15,0.05144882,-3,EMPTY_EDGE
-14,0.05144882,-3,EMPTY_EDGE
-13,0.05144882,-3,NONE
-7,0.05144882,-3,BI_EDGE
-6,0.05144882,-3,BI_EDGE
-5,0.05144882,-3,BI_EDGE
-4,0.05144882,-3,BI_EDGE
-3,0.05144882,-3,NONE
3,0.05144882,-3,UNI_EDGE
4,0.05144882,-3,UNI_EDGE
5,0.05144882,-3,UNI_EDGE
6,0.05144882,-3,NONE
7,0.05144882,-3,NONE
8,0.05144882,-3,NONE
9,0.05144882,-3,UNI_EDGE
10,0.05144882,-3,UNI_EDGE
11,0.05144882,-3,UNI_EDGE
13,0.05144882,-3,UNI_EDGE
14,0.05144882,-3,UNI_EDGE
15,0.05144882,-3,NONE
-17,0.05144882,-2,EMPTY_EDGE
-16,0.05144882,-2,EMPTY_EDGE
-15,0.05144882,-2,EMPTY_EDGE
-14,0.05144882,-2,EMPTY_EDGE
-13,0.05144882,-2,NONE
-7,0.05144882,-2,BI_EDGE
-6,0.05144882,-2,BI_EDGE
-5,0.05144882,-2,BI_EDGE
-4,0.05144882,-2,BI_EDGE
-3,0.05144882,-2,NONE
3,0.05144882,-2,UNI_EDGE
4,0.05144882,-2,UNI_EDGE
5,0.05144882,-2,UNI_EDGE
6,0.05144882,-2,BI_EDGE
7,0.05144882,-2,BI_EDGE
8,0.05144882,-2,BI_EDGE
9,0.05144882,-2,BI_EDGE
10,0.05144882,-2,NAV_NODE
11,0.05144882,-2,NAV_NODE
13,0.05144882,-2,NAV_NODE
14,0.05144882,-2,NAV_NODE
15,0.05144882,-2,NONE
-17,0.05144882,-1,EMPTY_EDGE
-16,0.05144882,-1,EMPTY_EDGE
-15,0.05144882,-1,EMPTY_EDGE
-14,0.05144882,-1,EMPTY_EDGE
-13,0.05144882,-1,NONE
-7,0.05144882,-1,BI_EDGE
-6,0.05144882,-1,BI_EDGE
-5,0.05144882,-1,BI_EDGE
-4,0.05144882,-1,BI_EDGE
-3,0.05144882,-1,NONE
3,0.05144882,-1,NAV_NODE
4,0.05144882,-1,NAV_NODE
5,0.05144882,-1,NAV_NODE
6,0.05144882,-1,BI_EDGE
7,0.05144882,-1,BI_EDGE
8,0.05144882,-1,BI_EDGE
9,0.05144882,-1,NAV_NODE
10,0.05144882,-1,NAV_NODE
11,0.05144883,-1,NAV_NODE
13,0.05144882,-1,NAV_NODE
14,0.05144882,-1,NAV_NODE
15,0.05144882,-1,NONE
-17,0.05144882,0,EMPTY_EDGE
-16,0.05144882,0,EMPTY_EDGE
-15,0.05144882,0,EMPTY_EDGE
-14,0.05144882,0,EMPTY_EDGE
-13,0.05144882,0,NONE
-7,0.05144882,0,BI_EDGE
-6,0.05144882,0,BI_EDGE
-5,0.05144882,0,BI_EDGE
-4,0.05144882,0,BI_EDGE
-3,0.05144882,0,NONE
3,0.05144899,0,NAV_NODE
4,0.05144882,0,NAV_NODE
5,0.05144882,0,NAV_NODE
6,0.05144882,0,BI_EDGE
7,0.05144882,0,BI_EDGE
